name,url,unit,amount
Azuki #9888,https://lh3.googleusercontent.com/ay0mucN7DkPG4vkhgpLr1zaiSTG7EtAB_K0KL89ov43xqwkzaQJPJO6aVRzhHTV_JeMjjykOJgmCsXojEUJQY0rKcUMoUEN2-4tSgQ=w191,WETH,26
Azuki #7524,https://lh3.googleusercontent.com/lvCNL37x2oTuIsOotJHmtmFVXOmV6FE4J8486asp2ErSeNsMCqv1gAch8tErDWlQJomTnhHG0NZ6yoDm6S_FibunCtdYXxai7Dt7_g=w191,WETH,26
Azuki #5049,https://lh3.googleusercontent.com/XYleNgBQdYwxj38gi4X7S9dXQ0G2ykcj5Ia87Tolvl7Xf0pYsPZLHiqeuLYjrnTMWQ0pe0sr4vTdb_QLAmPAQIP4KZRPkM8498RqsA=w191,WETH,26
Azuki #8675,https://lh3.googleusercontent.com/wRaAK8Hq2Bf9vH1MANP30SilgSjchqKJOdVgxs2lMnxsSVk9MpEsrEN8XWs6zUBnDYz6JcQRWvDnmtuT8Z-5sci3OKjokk7o8T2llvU=w191,WETH,26
Azuki #4501,https://lh3.googleusercontent.com/fhEQ7u6ryNRa6aCwrZpeAVJ6sTshK4PbrsY4L9BS9un-hASxaDAzb_jgDd-22pinpWNOH6fe6aPaIoe-_oAeUgOtSuaVR-nTsksf_w=w191,WETH,26.111
Azuki #1213,https://lh3.googleusercontent.com/ixHYEAlwVLsbQFqqQsHePCofTR_gE1ZQ-6L3z1Qoyvz3oXGsORxJFe20jyX8z7qIpF-Zx3uiaeJpV9IiGlT8vmHbmK752-9trFmILQ=w191,WETH,26.49
Azuki #5145,https://lh3.googleusercontent.com/i9t78RdBem0K9RgqUWtddn6DNSw77fI3mCtYUzc1_TWHPIduR2Bi_ZDl946J_hhiRiiN4mOrnkXhD3O0uTzO4wowsj2QmtVsuFlx=w191,WETH,26.64
Azuki #6655,https://lh3.googleusercontent.com/AEneB2JKRmwZTXsMbZ6dcU9ayftB4xs5_6WsR1KeTF8K5hU22Lz2hodBMDFthtx0StoruwN11i1hWpYTf4kkhNvttPaH1X571hso=w191,WETH,26.64
Azuki #612,https://lh3.googleusercontent.com/uOlN9T4xHxmFFDopTklBGvQA97q98mZo7wVgKu4JJPyAcr8r1c4BD_OEdFpCre2uyqdefRa7jV3_EdXhNOo0I353-MeeNrrcv1WJf1c=w191,WETH,26.69
Azuki #6063,https://lh3.googleusercontent.com/RLklvjJKC0h8k0kSog2vDJn9SJkbx79ERsRdzCtjQ9xn7JImhXal8A6jcKJUuWZYwDi_sUXtaJfBylegJX20uVJbwZDgNjm8Jkyd=w191,WETH,26.69
